category,field,definition
biological and ecological sciences,invasive species,"Invasive species is the field focused on non-native organisms that establish, spread, and cause ecological, economic, or infrastructural harm, examining the mechanisms of introduction, establishment, dispersal, impact, and control across terrestrial, freshwater, estuarine, and marine systems. It studies traits associated with invasiveness, vectors and pathways of introduction, interactions with native species, ecosystem disruption, and management responses over scales from local infestations to regional invasions and from early detection to long-term regime shifts. Common methods include species distribution modeling, field surveys, environmental DNA detection, risk assessment, demographic modeling, network analysis of spread pathways, and experimental evaluation of control strategies. Canonical topics include propagule pressure, biotic resistance, invasion fronts, competitive displacement, altered food webs, and eradication or containment programs. This field is distinguished from general ecology, which studies species interactions regardless of native status, and from restoration ecology, which focuses on recovering desired ecosystem conditions rather than primarily understanding and controlling invasive taxa."
biological and ecological sciences,restoration ecology,"Restoration ecology is the scientific study of how degraded, damaged, or altered ecosystems can be assisted in recovering ecological structure, function, resilience, and biodiversity, with emphasis on setting targets, understanding recovery trajectories, and evaluating outcomes of restoration actions. It examines processes such as succession, recolonization, hydrologic and geomorphic recovery, food-web reassembly, habitat creation, and resilience to disturbance across scales from sites and stream reaches to watersheds and landscapes and over timescales from project implementation to long-term ecosystem development. Common methods include before-after-control-impact designs, vegetation and fauna monitoring, reference-site comparisons, adaptive management, experimental manipulations, and models of habitat suitability or ecosystem function. Canonical topics include wetland restoration, river and floodplain reconnection, dam removal, revegetation, invasive species control, and metrics of restoration success such as species richness, functional traits, or ecosystem processes. This field is distinguished from conservation biology, which often focuses on protecting intact systems or threatened species, and from engineering fields, which may design restoration infrastructure but do not center on ecological recovery as the primary object of study. When a paper studies ecological processes at a restored site — tracking succession, community reassembly, or recovery trajectories after restoration — it should be classified here rather than in terrestrial or aquatic ecology, even if the methods are identical to those used in non-restoration contexts. The restored site being the subject of study is the key signal."
biological and ecological sciences,terrestrial ecology,"Terrestrial ecology is the study of organisms, communities, and ecosystem processes in land-based and semi-terrestrial environments such as forests, grasslands, shrublands, deserts, alpine systems, agricultural landscapes, and transitional wetland habitats used by terrestrial wildlife. It examines interactions among plants, animals, microbes, soils, climate, and disturbance regimes, focusing on processes such as primary production, decomposition, nutrient cycling, competition, predation, succession, habitat selection, and landscape connectivity, as well as population-level life history, demography, survival, and reproductive biology of terrestrial and semi-aquatic wildlife including reptiles, amphibians, and mammals across scales from plots and populations to ecosystems and regions and across timescales from seasonal dynamics to long-term change. Common data sources and methods include vegetation surveys, wildlife monitoring, mark-recapture, telemetry, demographic modeling, remote sensing, manipulative experiments, trait analysis, and ecosystem or landscape modeling. Canonical topics include fire effects, drought responses, carbon storage, trophic interactions, habitat fragmentation, biome shifts, and population dynamics of threatened or managed terrestrial species. This field is distinguished from aquatic ecology, which focuses on water-based systems, from avian biology, which centers specifically on birds, and from fisheries biology, which centers specifically on fish; it is the appropriate classification for population-level studies of non-avian, non-fish vertebrates such as reptiles, amphibians, and mammals, even when those species use wetland or semi-aquatic habitats; and from restoration ecology, which should be prioritized when the primary focus of a paper is ecological recovery, succession, or community reassembly at a restored site, even when the methods are identical to those used in non-restoration terrestrial studies."
biological and ecological sciences,environmental DNA,"Environmental DNA is the study and application of genetic material shed by organisms into environmental samples such as water, soil, sediment, or air in order to detect species presence, community composition, and sometimes relative patterns of biodiversity without requiring direct capture or observation of organisms. It focuses on sampling design, DNA persistence and transport, detection probability, contamination control, assay performance, and inference from metabarcoding or species-specific assays across scales from site-level monitoring to landscape surveillance and across timescales shaped by DNA degradation and hydrologic or atmospheric transport. Common methods include filtration or sample collection, DNA extraction, quantitative PCR, digital PCR, metabarcoding, sequencing, and bioinformatic taxonomic assignment. Canonical topics include early detection of rare or invasive species, monitoring of aquatic vertebrates and invertebrates, occupancy modeling with imperfect detection, and interpretation of false positives or false negatives. This field is distinguished from genomic DNA studies, which typically analyze DNA obtained directly from organisms, tissues, or cells to address population genomics, heredity, or genome structure rather than DNA recovered indirectly from environmental media for detection and monitoring."
biological and ecological sciences,genomic DNA,"Genomic DNA is the study of organismal genetic material at the level of whole genomes or substantial genomic variation, focusing on inheritance, genetic diversity, genome structure, population structure, adaptation, phylogeny, gene flow, and molecular evolution using DNA obtained directly from tissues, cells, or cultured material. It operates across scales from genes and chromosomes to populations and species and across timescales from contemporary population processes to deep evolutionary history. Common methods include whole-genome sequencing, reduced-representation sequencing, SNP genotyping, comparative genomics, phylogenomics, population genetic analysis, and bioinformatic pipelines for alignment, variant calling, and annotation. Canonical topics include heterozygosity, genetic differentiation, linkage, local adaptation, effective population size, kinship, and demographic history. This field is distinguished from environmental DNA, which infers species occurrence or community composition from trace DNA in environmental samples, and from broader molecular biology fields that may focus on gene expression, proteins, or cell processes rather than genomic variation and inheritance."
geological and earth sciences,fire,"Fire is the field concerned with the occurrence, behavior, effects, and management of wildland or landscape fire as a physical, ecological, and socio-environmental process. It studies ignition, fuel properties, combustion, fire spread, fire severity, smoke production, fire weather, and interactions with vegetation, topography, climate, and human activity across scales from individual burns and fire fronts to regional fire regimes and long-term changes in disturbance patterns. Common data sources and methods include remote sensing of burn extent and severity, weather and fuel-moisture observations, fire behavior modeling, dendrochronology, landscape analysis, and post-fire ecological monitoring. Canonical topics include fire return interval, crown fire versus surface fire, prescribed burning, fuel treatments, wildfire risk, smoke impacts, and post-fire erosion or vegetation recovery. This field is distinguished from forestry or terrestrial ecology more broadly because it centers specifically on fire as a disturbance process, and from meteorology, which may analyze fire weather but does not focus on combustion, fuels, and fire effects as the primary subject."
geological and earth sciences,geology,"Geology is the study of the Earth’s solid materials, structures, history, and surface-shaping processes, including rocks, minerals, sediments, stratigraphy, tectonics, volcanism, geomorphology, and the geologic record through deep time. It examines how Earth materials form, deform, weather, erode, and accumulate across scales from mineral grains and outcrops to mountain belts, sedimentary basins, and plate boundaries and over timescales from contemporary surface processes to millions or billions of years. Common methods include field mapping, stratigraphic interpretation, petrography, sediment analysis, geochronology, structural analysis, and subsurface interpretation from cores or geophysical data. Canonical topics include faulting, folding, depositional environments, erosion, landslides, volcanic deposits, and basin evolution. This field is distinguished from geophysics, which infers Earth properties using physical measurements such as seismic or electromagnetic data, and from soils, which focuses on the biologically active weathered upper layer used by plants and land-surface processes."
geological and earth sciences,geophysics,"Geophysics is the study of the physical properties and processes of the Earth and subsurface using principles of physics to infer structure, composition, motion, and material behavior. It addresses phenomena such as seismic wave propagation, gravity anomalies, magnetic fields, electrical conductivity, heat flow, and deformation across scales from near-surface characterization to crustal and mantle structure and over timescales from real-time earthquakes to long-term tectonic processes. Common methods include seismology, ground-penetrating radar, electrical resistivity, electromagnetic surveys, gravity and magnetic surveys, geodesy, and inversion modeling to estimate subsurface properties from physical measurements. Canonical topics include earthquake mechanics, fault imaging, aquifer characterization, crustal structure, subsidence, and volcanic monitoring. This field is distinguished from geology, which more often emphasizes direct interpretation of rocks, stratigraphy, and Earth history, and from hydrology or groundwater studies, which focus on water movement rather than the broader physical characterization of Earth materials and processes."
geological and earth sciences,groundwater,"Groundwater is the field concerned with water stored and moving beneath the Earth’s surface in soils, sediments, and rock formations, emphasizing aquifer properties, recharge, discharge, flow paths, water availability, and interactions with surface water and ecosystems. It studies variables such as hydraulic head, hydraulic conductivity, storage, porosity, pumping rates, recharge rates, and contaminant transport across scales from pores and wells to aquifers, groundwater basins, and regional flow systems and over timescales from short-term pumping responses to long-term depletion or recovery. Common methods include well monitoring, pumping tests, tracer studies, groundwater modeling, hydrograph analysis, geochemical and isotopic tracing, and remote sensing of land subsidence or storage change. Canonical topics include overdraft, recharge, cones of depression, groundwater-surface water interaction, managed aquifer recharge, seawater intrusion, and contaminant plume migration. This field is distinguished from hydrology, which addresses the broader water cycle across atmosphere, land, and surface waters, and from geology or geophysics, which may characterize subsurface materials without focusing primarily on groundwater flow and storage. All studies of subsurface water — including groundwater quality, contamination, and chemical characteristics — belong in this field rather than in water quality, which covers surface water only."
geological and earth sciences,hydrology,"Hydrology is the science of the occurrence, movement, distribution, and storage of water within the Earth system, including precipitation, interception, evapotranspiration, snow accumulation and melt, infiltration, runoff, streamflow, soil moisture, and groundwater contributions across catchments, river networks, and landscapes. It examines water fluxes and storages over timescales from storms and seasons to interannual variability and long-term change and over scales from hillslopes and stream reaches to watersheds and river basins. Common methods include stream gaging, hydrograph analysis, water balance estimation, tracer studies, remote sensing, hydrologic modeling, flood-frequency analysis, and watershed experiments. Canonical topics include rainfall-runoff processes, peak flow generation, baseflow, routing, drought, flood hydrology, land-cover effects on runoff, and hydroclimatic variability. This field is distinguished from water resource engineering, which applies engineering principles to design and operate water infrastructure and management systems, from groundwater, snow, or water quality studies that focus more narrowly on particular water stores or properties rather than the broader movement of water through the hydrologic cycle, and from meteorology, which covers atmospheric processes — including atmospheric rivers, storms, and synoptic dynamics — that deliver precipitation to the land surface; studies whose primary subject is atmospheric moisture transport or precipitation generation belong in meteorology even when a watershed serves as the study area. For sediment and nutrient studies that span both fields, the tiebreaker is the primary question: if the paper asks how much moves and why (fluxes, transport, flow-driven processes), it is hydrology; if it asks what the concentrations are and how they affect water body condition or compliance, it is water quality."
geological and earth sciences,snow,"Snow is the field focused on the accumulation, distribution, physical properties, energy balance, and melt of seasonal snowpacks and related cryospheric processes, especially their role in climate, hydrology, hazards, and water supply. It studies variables such as snow water equivalent, depth, density, albedo, grain size, cold content, accumulation timing, and melt rates across scales from snow profiles and hillslopes to mountain ranges and regional snow climates and over timescales from individual storms to seasonal and interannual variability. Common methods include snow surveys, automated snow sensors, remote sensing, energy-balance modeling, snowpack evolution models, and runoff forecasting. Canonical topics include rain-on-snow events, snowmelt timing, avalanche conditions, snow drought, sublimation, and the partitioning of precipitation into rain versus snow. This field is distinguished from hydrology, which addresses the entire water cycle rather than the snowpack specifically, and from climatology, which may analyze long-term snow trends but does not center on snow physics and snowpack processes as the primary object of study."
geological and earth sciences,soils,"Soils is the field concerned with the formation, classification, physical structure, chemistry, biology, and function of the unconsolidated upper layer of the Earth that supports plant growth and regulates water, carbon, and nutrient cycling. It studies texture, structure, organic matter, mineral composition, bulk density, moisture, temperature, salinity, pH, microbial communities, and nutrient availability across scales from aggregates and horizons to fields, hillslopes, and landscapes and over timescales from short-term moisture dynamics to long-term pedogenesis. Common methods include soil coring and profile description, laboratory analysis, pedologic mapping, infiltration testing, remote sensing, and models of water or nutrient movement in soils. Canonical topics include soil fertility, erosion, salinization, carbon sequestration, infiltration capacity, soil moisture dynamics, and land-use effects on soil health. This field is distinguished from geology, which focuses on broader Earth materials and geologic history; from agronomy or hydrology, which may use soil information but do not center on soils themselves as the primary subject; and from geochemistry, which focuses on elemental and isotopic reactions in solid Earth materials — if a paper's primary focus is soil function, plant support, pedogenesis, or land-surface regulation of water and nutrients, it belongs here, but if the primary focus is geochemical element cycling, redox reactions, or isotopic signatures in soil minerals or sediments as Earth materials, it belongs in geochemistry."
geological and earth sciences,water quality,"Water quality is the field concerned with the physical, chemical, and biological characteristics of surface water and how those characteristics affect ecological condition, human use, and regulatory compliance in rivers, lakes, reservoirs, wetlands, and estuaries. It studies variables such as temperature, dissolved oxygen, pH, turbidity, salinity, nutrients, organic matter, sediments, pathogens, metals, and contaminants across scales from samples and reaches to entire water bodies and watersheds and over timescales from diel cycles and storm events to seasonal and long-term trends. Common methods include grab and continuous monitoring, laboratory chemistry, sensor networks, load estimation, mixing and fate-and-transport modeling, and assessment against standards or impairment thresholds. Canonical topics include eutrophication, hypoxia, salinity intrusion, algal blooms, sediment loads, pathogen contamination, and total maximum daily loads. This field is distinguished from aquatic toxicology, which focuses specifically on toxic effects of contaminants on organisms; from environmental engineering, which focuses on designing drinking water and wastewater treatment systems rather than characterizing ambient conditions; and from groundwater, which covers all subsurface water studies including groundwater quality and contamination regardless of whether the primary focus is flow or chemistry. For sediment and nutrient studies that span both fields, the tiebreaker is the primary question: if the paper focuses on fluxes, transport rates, and flow-driven processes, it belongs in hydrology; if it focuses on concentrations, impairment thresholds, and water-body condition or compliance, it belongs here."
geological and earth sciences,geochemistry,"Geochemistry is the study of the chemical composition of Earth materials and the processes that control the distribution, transformation, and cycling of elements and isotopes in rocks, minerals, soils, sediments, waters, and gases. It examines reactions such as weathering, dissolution, precipitation, adsorption, redox transformations, isotope fractionation, and element transport across scales from mineral surfaces and pores to aquifers, catchments, sediments, and global biogeochemical cycles and over timescales from reaction kinetics to geologic history. Common methods include elemental and isotopic analysis, mass spectrometry, thermodynamic speciation modeling, tracer studies, and interpretation of water-rock interaction. Canonical topics include nutrient and metal cycling, isotopic signatures of sources and processes, acid mine drainage, redox zonation, weathering fluxes, and geochemical fingerprinting of waters or sediments. This field is distinguished from geology, which focuses more broadly on Earth materials and history, and from water quality and groundwater, which address the status and management of water conditions rather than the chemical processes and elemental behavior of solid Earth materials. Geochemistry in this taxonomy covers solid-phase Earth materials — rocks, minerals, soils, and sediments — and the chemical reactions occurring within or between them. Studies whose primary subject is the chemical composition or quality of water itself (whether surface or subsurface) should be classified as water quality or groundwater respectively, even if geochemical methods such as isotope analysis are used as tools."
planning and social sciences ,environmental policy,"Environmental policy is the field concerned with the development, implementation, evaluation, and consequences of laws, regulations, institutions, and governance arrangements intended to manage environmental problems and natural resources. It examines how policy instruments such as standards, permits, incentives, markets, planning requirements, and public programs shape behavior and environmental outcomes across local, state, national, and international scales and over timescales from policy adoption to long-term institutional change. Common methods include policy analysis, legal and institutional review, comparative case studies, program evaluation, stakeholder analysis, and qualitative or mixed-method research. Canonical topics include regulatory design, compliance, implementation gaps, environmental governance, adaptive management institutions, public participation, and interactions among science, law, and decision-making. This field is distinguished from environmental justice, which centers inequitable distribution of environmental burdens, benefits, and participation, and from natural resource economics, which focuses on incentives, valuation, and efficiency rather than the broader architecture and implementation of policy institutions."
planning and social sciences ,land use,"Land use is the field concerned with how land is allocated, managed, modified, and governed for purposes such as agriculture, urban development, conservation, forestry, transportation, and resource extraction, and how those patterns affect environmental and social systems. It examines land-cover change, parcel use, zoning, development intensity, fragmentation, agricultural conversion, and human alteration of landscapes across scales from parcels and neighborhoods to regions and over timescales from project development to long-term landscape transformation. Common data sources and methods include land-cover maps, remote sensing, cadastral and zoning data, GIS analysis, scenario modeling, and spatial statistics. Canonical topics include urban expansion, habitat fragmentation, agricultural intensification, deforestation, impervious surface growth, and land-use change effects on runoff, biodiversity, and emissions. This field is distinguished from urban and regional planning, which focuses more broadly on planning processes, institutions, and design strategies, and from landscape ecology, hydrology, or climate adaptation studies that may analyze land use as a driver but do not center land allocation and change as the primary subject."
planning and social sciences ,watershed management ,"Watershed management is the field concerned with coordinated planning, governance, and intervention across an entire drainage basin to balance water supply, water quality, habitat, flood risk, land use, and human activities within a connected hydrologic landscape. It treats the watershed as the core management unit and emphasizes upstream-downstream linkages, cumulative impacts, source control, cross-jurisdictional coordination, and integrated actions affecting streams, floodplains, groundwater, land cover, and communities over scales from subwatersheds to large river basins and from project cycles to long-term stewardship. Common methods include watershed assessment, GIS and monitoring integration, stakeholder processes, prioritization frameworks, scenario evaluation, best management practice design, and adaptive management. Canonical topics include nonpoint source pollution control, integrated watershed plans, erosion and sediment management, riparian restoration, floodplain reconnection, and basin-scale coordination of water and habitat objectives. This field is distinguished from hydrology, which studies watershed processes as a science, and from water resource engineering, which focuses more narrowly on infrastructure design and operation rather than holistic basin governance and management."
planning and social sciences ,integrated socio-hydrologic systems,"Integrated socio-hydrologic systems is the field that studies coupled human-water systems in which hydrologic processes and human behavior, institutions, infrastructure, and decision-making interact dynamically and co-evolve over time. It examines feedbacks among streamflow, groundwater, storage, risk perception, land use, governance, economic behavior, water demand, and adaptation across scales from households and irrigation districts to watersheds, river basins, and regions and over timescales from seasonal management to multi-decadal social and hydrologic change. Common methods include coupled systems modeling, agent-based modeling, system dynamics, scenario analysis, integrated assessment, and mixed-method empirical studies linking hydrologic data with social, institutional, and economic information. Canonical topics include drought adaptation, floodplain development feedbacks, reservoir and irrigation management, path dependence, vulnerability, and unintended consequences of water policy or infrastructure. This field is distinguished from hydrology, which may model water movement without explicitly representing human feedbacks, and from environmental policy or economics, which study institutions and incentives without necessarily coupling them to dynamic hydrologic processes."
planning and social sciences ,natural resource economics,"Natural resource economics is the field that applies economic theory and empirical methods to the allocation, use, valuation, and management of natural resources and environmental goods, including water, land, forests, fisheries, energy resources, and ecosystem services. It examines scarcity, incentives, externalities, property rights, intertemporal tradeoffs, risk, market and nonmarket valuation, and policy design across scales from households and firms to sectors, regions, and economies and over timescales from short-run behavior to long-term resource depletion or restoration. Common methods include optimization, econometrics, cost-benefit analysis, stated and revealed preference valuation, production economics, and game-theoretic or dynamic models. Canonical topics include water pricing, ecosystem service valuation, common-pool resource management, resource rents, efficient allocation, discounting, and economic impacts of environmental regulation. This field is distinguished from environmental policy, which centers legal and institutional design more broadly, and from decision support or planning, which may use economic information but do not focus primarily on economic behavior, valuation, and efficiency."
planning and social sciences ,environmental justice,"Environmental justice is the field concerned with the unequal distribution of environmental harms, benefits, risks, protections, and decision-making power across communities, especially as structured by race, income, class, language, and historical patterns of exclusion and discrimination. It examines issues such as disproportionate exposure to pollution, flood risk, heat, displacement, infrastructure burdens, inequitable access to environmental amenities, procedural fairness in governance, and recognition of community knowledge across scales from neighborhoods and facilities to regions and national policy and over timescales spanning cumulative exposure and intergenerational inequality. Common methods include spatial equity analysis, demographic and exposure mapping, participatory research, policy analysis, community-based methods, and mixed-method studies of health, governance, and distributional outcomes. Canonical topics include cumulative burden screening, environmental racism, just distribution of adaptation benefits, procedural justice, and community participation in permitting or restoration decisions. This field is distinguished from environmental policy more broadly because inequity and justice are central rather than incidental, and from public health or planning studies that may address environmental conditions without making distributional and procedural justice the primary analytic frame."
planning and social sciences ,urban and regional planning,"Urban and regional planning is the field concerned with the long-range organization, design, regulation, and governance of cities, towns, metropolitan areas, and regions, including land use, housing, transportation, infrastructure, economic development, environmental protection, and community form. It examines spatial development patterns, growth management, zoning, public investment, hazard mitigation, infrastructure coordination, and stakeholder processes across scales from neighborhoods and corridors to metropolitan regions and multi-jurisdictional landscapes and over timescales from project review to long-term plans and regional visions. Common methods include plan analysis, GIS-based suitability and scenario modeling, demographic and economic forecasting, community engagement, policy design, and urban design or transportation integration. Canonical topics include comprehensive plans, smart growth, transit-oriented development, regional growth boundaries, housing allocation, resilience planning, and siting of public facilities. This field is distinguished from land use as a narrower focus on land allocation patterns alone, and from civil engineering, which provides technical infrastructure design rather than planning, governance, and spatial coordination at city and regional scales."
computer and information sciences,decision support,"Decision support is the field concerned with developing tools, frameworks, and analytical processes that help individuals, organizations, and governments make informed choices under uncertainty, especially where multiple objectives, constraints, stakeholders, and data sources must be integrated. It commonly includes decision support systems, dashboards, multicriteria analysis, optimization, structured decision-making, scenario planning, forecasting interfaces, and visualization tools operating across scales from project and facility decisions to basin, program, and policy choices and over timescales from real-time operations to long-term planning. Core elements include synthesizing evidence, representing uncertainty, comparing alternatives, eliciting preferences, and translating technical analysis into actionable information. Common methods include decision analysis, Bayesian approaches, operations research, multicriteria decision analysis, simulation, sensitivity analysis, and user-centered interface design. This field is distinguished from data science or machine learning, which focus on extracting patterns and predictions from data, and from policy or planning, which govern the substantive decisions themselves rather than the tools and processes used to support them."
